Name,ISO,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Greece,GRC,3774377,35213.454,113373,1057.726,19303,30371,283.349,150,1.399,22
Greenland,GRL,11971,21086.099,0,0,0,21,36.99,0,0,0
Grenada,GRD,18475,16418.865,205,182.185,0,232,206.18,0,0,0
Guadeloupe,GLP,171431,42844.468,2717,679.039,0,957,239.176,2,0.5,0
Guam,GUM,43970,26052.437,480,284.402,0,372,220.412,1,0.593,0
Guatemala,GTM,922340,5148.26,21040,117.44,1194,18628,103.977,112,0.625,12
Guernsey,GGY,28098,43584.414,997,1546.504,0,49,76.007,1,1.551,0
Guinea,GIN,37123,282.674,0,0,0,443,3.373,0,0,0
Guinea-Bissau,GNB,8391,426.372,22,1.118,0,171,8.689,0,0,0
Guyana,GUY,67699,8607.06,478,60.772,42,1256,159.684,5,0.636,0
Haiti,HTI,31703,278.035,26,0.228,0,837,7.34,0,0,0
Holy See,VAT,26,3213.844,0,0,0,0,0,0,0,0
Honduras,HND,427718,4318.374,363,3.665,0,10906,110.11,0,0,0
Hungary,HUN,1932788,19783.846,4663,47.73,0,46661,477.618,14,0.143,0
Iceland,ISL,196527,53971.066,2133,585.773,0,179,49.158,5,1.373,0
India,IND,43566739,3157,114575,8.303,18930,525305,38.065,189,0.014,35
Indonesia,IDN,6103552,2231.453,15092,5.518,2881,156776,57.317,39,0.014,6
Iran (Islamic Republic of),IRN,7242919,8623.246,5322,6.336,1271,141413,168.363,27,0.032,5
Iraq,IRQ,2369272,5890.416,23379,58.124,4819,25249,62.773,10,0.025,2
Ireland,IRL,1614631,32523.93,14374,289.539,1795,7536,151.8,26,0.524,5
Isle of Man,IMN,36998,43510.678,535,629.175,0,110,129.363,2,2.352,0
Israel,ISR,4419672,51061.765,75236,869.224,10487,11054,127.71,56,0.647,3
Italy,ITA,19048788,31938.821,609911,1022.629,110017,168770,282.974,476,0.798,72
Jamaica,JAM,143476,4845.252,793,26.78,236,3147,106.276,23,0.777,7
Japan,JPN,9496651,7508.631,213568,168.86,44845,31363,24.797,117,0.093,15
Jersey,JEY,53889,49991.651,233,216.149,0,131,121.526,0,0,0
Jordan,JOR,1700526,16666.703,1329,13.025,0,14068,137.879,0,0,0
Kazakhstan,KAZ,1397478,7442.615,1629,8.676,340,19018,101.285,0,0,0
Kenya,KEN,335092,623.18,1802,3.351,292,5659,10.524,7,0.013,2
